1,Naâma,1
2,Ngamiland,2
3,Bamingui-Bangoran,3
4,Tadjourah Region,4
5,Oromia,5
6,Savannah Region,6
7,Kajiado South Constituency,7
8,Souss-Massa,8
9,Erongo,9
10,Northern Province,10
11,Eastern Cape,11
12,Kiimanjaro Region,12
13,Bullisa District,13
14,Central Province,14
15,Sarpang District,15
16,Siem Reap,16
17,Beijing,17
18,Madhya Pradesh,18
19,Gujarat,18
20,East Nusa Tenggara,19
21,Northern District,20
22,Hokkaidō,21
23,Penang,22
24,SouthGobi Province,23
25,Solukhumbu District,24
26,Palawan,25
27,Jeju-do,26
28,Southern Province,27
29,Taichung Muncipality,28
30,Surat Thani Province,29
31,Nevsehir Province,30
32,Haiphong,31
33,California,32
34,Wyoming,32
35,Washington,32
36,British Columbia,33
37,Alberta,33
38,Argentinian Patagonia,34
39,Chilean Patagonia,35
40,Tasman District,36
41,Westland District,36
42,New South Wales,37
43,Cakaudrove Province,38
44,Victoria,37
45,South Australia,37
46,Tasmania,37
47,Queensland,37
48,Southland,36
49,Northern Territory,37
50,Western Australia,37
51,Rewa Province,38
52,Ruapehu District,36
